Season,Team,OriginalPosition,NewPosition,PositionChange,OriginalPoints,NewPoints,ZeroZeroDraws,GoalDifference
2006-07,Man United,1,1,0,89,88,1,56
2006-07,Chelsea,2,2,0,83,80,3,40
2006-07,Arsenal,4,3,1,68,66,2,28
2006-07,Liverpool,3,4,-1,68,63,5,30
2006-07,Tottenham,5,5,0,60,58,2,3
2006-07,Everton,6,6,0,58,56,2,16
2006-07,Bolton,7,7,0,56,54,2,-5
2006-07,Reading,8,8,0,55,52,3,5
2006-07,Blackburn,10,9,1,52,51,1,-2
2006-07,Portsmouth,9,10,-1,54,48,6,3
2006-07,Aston Villa,11,11,0,50,45,5,2
2006-07,Middlesbrough,12,12,0,46,41,5,-5
2006-07,West Ham,15,13,2,41,40,1,-24
2006-07,Newcastle,13,14,-1,43,38,5,-9
2006-07,Wigan,17,15,2,38,36,2,-22
2006-07,Sheffield United,18,16,2,38,36,2,-23
2006-07,Man City,14,17,-3,42,35,7,-15
2006-07,Fulham,16,18,-2,39,35,4,-22
2006-07,Charlton,19,19,0,34,30,4,-26
2006-07,Watford,20,20,0,28,22,6,-30
